"Id","EZI_ADD","Geographical.Coordinate","Archetype","BDIAgentType","HasDependents","WillGoHomeAfterVisitingDependents","WillGoHomeBeforeLeaving","WillStay","ResponseThresholdInitial","ResponseThresholdFinal","ImpactFromVisibleSmoke","ImpactFromImmersionInSmoke","ImpactFromVisibleEmbers","ImpactFromVisibleFire","ImpactFromVisibleResponders","ImpactFromMessageAdvice","ImpactFromMessageWatchAndAct","ImpactFromMessageEmergencyWarning","ImpactFromMessageEvacuateNow","ImpactFromMessageRespondersAttending","ImpactFromFireDangerIndexRating","ImpactFromSocialMessage","LagTimeInMinsForInitialResponse","LagTimeInMinsForFinalResponse","HasDependentsAtLocation"
0,"15 BLAKE STREET POWELLTOWN 3797","[145.75288198999996, -37.86568516908523]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.37,0.55,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,14.98,17.45,"[145.75253328999995, -37.86566790908528]"
1,"3 SURREY ROAD POWELLTOWN 3797","[145.75438193, -37.865199319085214]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","false","false",0.14,0.47,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,13.47,16.19,""
2,"3 SURREY ROAD POWELLTOWN 3797","[145.75438193, -37.865199319085214]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.13,0.59,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,10.48,15.61,""
3,"MT BAW BAW TOURIST ROAD POWELLTOWN 3797","[145.74728803, -37.86182542908526]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.27,0.56,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,12.05,15.41,""
4,"MT BAW BAW TOURIST ROAD POWELLTOWN 3797","[145.76274737999992, -37.86667819908524]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.55,0.48,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,11.86,14.51,""
5,"33 YARRA STREET POWELLTOWN 3797","[145.74934863999997, -37.86435281908522]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","false","true","false",0.36,0.39,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.93,11.45,""
6,"1710 LITTLE YARRA ROAD POWELLTOWN 3797","[145.75740770000002, -37.86577205908521]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","false","false",0.39,0.35,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,16.59,12.45,"[145.70129137, -37.853846569085306]"
7,"YARRA JUNCTION-NOOJEE ROAD POWELLTOWN 3797","[145.7562753099999, -37.86504190908522]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","true","true","false",0.3,0.53,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,13.55,8.36,"[145.64442959999994, -37.834524009085484]"
8,"1505 LITTLE YARRA ROAD POWELLTOWN 3797","[145.73634087999991, -37.859833739085296]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","false","true","false","false",0.15,0.51,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,19.35,16.4,""
9,"1656 LITTLE YARRA ROAD POWELLTOWN 3797","[145.75286494999997, -37.86347085908526]","Community.Guided","io.github.agentsoz.ees.agents.archetype.CommunityGuided","true","false","true","false",0.33,0.53,0.2,0.3,0.4,0.5,0.3,0.091,0.167,0.326,0.346,0,0.1,0.4,17.71,17.33,"[145.68528447000003, -37.83448979908546]"
